match_id,barca_played,home_team,away_team,match_date,season
69241,True,Barcelona,Tenerife,2010-05-04,2009/2010
69239,True,Sevilla,Barcelona,2010-05-08,2009/2010
69257,True,Barcelona,Osasuna,2010-03-24,2009/2010
69253,True,Barcelona,Real Zaragoza,2009-10-25,2009/2010
69244,True,Villarreal,Barcelona,2010-05-01,2009/2010
69277,True,Osasuna,Barcelona,2009-10-31,2009/2010
69229,True,Getafe,Barcelona,2009-09-12,2009/2010
69219,True,Tenerife,Barcelona,2010-01-10,2009/2010
69218,True,Deportivo La Coruna,Barcelona,2009-12-05,2009/2010
69250,True,Barcelona,Mallorca,2009-11-07,2009/2010
69242,True,Barcelona,Real Valladolid,2010-05-16,2009/2010
69256,True,Barcelona,Almería,2009-10-03,2009/2010
69298,True,Mallorca,Barcelona,2010-03-27,2009/2010
69259,True,Real Madrid,Barcelona,2010-04-10,2009/2010
69224,True,Barcelona,Valencia,2010-03-14,2009/2010
69210,True,Real Valladolid,Barcelona,2010-01-23,2009/2010
69220,True,Sporting Gijón,Barcelona,2010-01-30,2009/2010
69237,True,Atlético Madrid,Barcelona,2010-02-14,2009/2010
69226,True,Almería,Barcelona,2010-03-06,2009/2010
69252,True,Valencia,Barcelona,2009-10-17,2009/2010
69255,True,Málaga,Barcelona,2009-09-26,2009/2010
69214,True,Barcelona,Xerez,2010-04-24,2009/2010
69262,True,Barcelona,Real Madrid,2009-11-29,2009/2010
69240,True,Barcelona,Getafe,2010-02-06,2009/2010
69233,True,Barcelona,Racing Santander,2010-02-20,2009/2010
69213,True,Espanyol,Barcelona,2010-04-17,2009/2010
69238,True,Barcelona,Málaga,2010-02-27,2009/2010
69267,True,Xerez,Barcelona,2009-12-02,2009/2010
69288,True,Athletic Bilbao,Barcelona,2009-11-21,2009/2010
69254,True,Racing Santander,Barcelona,2009-09-22,2009/2010
69292,True,Barcelona,Atlético Madrid,2009-09-19,2009/2010
69227,True,Real Zaragoza,Barcelona,2010-03-21,2009/2010
69247,True,Barcelona,Athletic Bilbao,2010-04-03,2009/2010
69221,True,Barcelona,Deportivo La Coruna,2010-04-14,2009/2010
69225,True,Barcelona,Real Madrid,2008-12-13,2008/2009
